bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.93,0.94,0.93,219
1,0.88,0.88,0.88,73
2,0.91,0.93,0.92,173
3,0.88,0.90,0.89,178
4,0.86,0.85,0.86,116
5,0.87,0.80,0.83,25
6,0.90,0.90,0.90,124
7,0.93,0.85,0.89,33
8,0.85,0.82,0.83,98
9,0.94,0.94,0.94,153
10,0.95,0.93,0.94,444
11,0.96,0.97,0.96,333
12,0.95,0.95,0.95,76
13,0.99,0.99,0.99,3949
14,0.84,0.88,0.86,258
15,0.96,0.90,0.93,81
16,0.88,0.85,0.86,236
17,0.63,0.52,0.57,23
18,0.92,0.90,0.91,196
19,1.00,0.68,0.81,22
20,0.88,0.90,0.89,406
21,0.95,0.95,0.95,382
22,0.86,0.86,0.86,132
23,0.85,0.91,0.88,129
24,0.79,0.72,0.75,32
25,0.84,0.68,0.75,38
26,0.81,0.78,0.80,50
27,0.92,0.86,0.89,80
28,1.00,0.50,0.67,2
29,0.92,0.92,0.92,52
30,0.81,0.86,0.83,137
31,1.00,0.50,0.67,2
32,1.00,0.50,0.67,2
33,0.94,0.87,0.90,54
34,0.80,0.73,0.76,33
35,0.88,0.78,0.82,9
36,1.00,0.82,0.90,11
avg,0.90,0.82,0.85,8361

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.94,0.97,0.95,219
1,0.93,0.86,0.89,73
2,0.94,0.94,0.94,173
3,0.94,0.94,0.94,178
4,0.96,0.95,0.95,116
5,0.91,0.80,0.85,25
6,0.93,0.96,0.94,124
7,0.94,0.91,0.92,33
8,0.97,0.90,0.93,98
9,0.99,0.96,0.98,153
10,0.96,0.97,0.97,444
11,0.96,0.98,0.97,333
12,0.99,0.91,0.95,76
13,0.99,0.99,0.99,3949
14,0.91,0.96,0.93,258
15,0.97,0.96,0.97,81
16,0.92,0.93,0.93,236
17,0.94,0.74,0.83,23
18,0.96,0.93,0.95,196
19,0.94,0.77,0.85,22
20,0.91,0.96,0.94,406
21,0.95,0.98,0.96,382
22,0.95,0.92,0.93,132
23,0.90,0.95,0.93,129
24,0.96,0.78,0.86,32
25,0.91,0.79,0.85,38
26,0.95,0.82,0.88,50
27,0.95,0.89,0.92,80
28,1.00,0.50,0.67,2
29,0.98,0.90,0.94,52
30,0.92,0.88,0.90,137
31,1.00,0.50,0.67,2
32,1.00,0.50,0.67,2
33,0.96,0.91,0.93,54
34,0.96,0.82,0.89,33
35,1.00,0.89,0.94,9
36,1.00,0.73,0.84,11
avg,0.95,0.87,0.90,8361

