bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.83,0.85,0.84,219
1,0.86,0.82,0.84,73
2,0.86,0.86,0.86,173
3,0.77,0.82,0.79,178
4,0.79,0.80,0.79,116
5,0.79,0.44,0.56,25
6,0.75,0.78,0.76,124
7,0.89,0.73,0.80,33
8,0.83,0.72,0.77,98
9,0.92,0.86,0.89,153
10,0.90,0.89,0.90,444
11,0.93,0.94,0.93,333
12,0.91,0.84,0.88,76
13,0.98,0.99,0.98,3949
14,0.77,0.80,0.78,258
15,0.88,0.83,0.85,81
16,0.73,0.78,0.76,236
17,0.92,0.48,0.63,23
18,0.89,0.90,0.90,196
19,0.93,0.59,0.72,22
20,0.81,0.87,0.84,406
21,0.87,0.90,0.88,382
22,0.76,0.72,0.74,132
23,0.81,0.81,0.81,129
24,0.83,0.62,0.71,32
25,0.76,0.66,0.70,38
26,0.74,0.70,0.72,50
27,0.88,0.85,0.87,80
28,1.00,0.50,0.67,2
29,0.89,0.77,0.82,52
30,0.78,0.73,0.75,137
31,0.00,0.00,0.00,2
32,1.00,0.50,0.67,2
33,0.94,0.81,0.87,54
34,0.92,0.73,0.81,33
35,0.67,0.67,0.67,9
36,1.00,0.45,0.62,11
avg,0.83,0.73,0.77,8361

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.92,0.94,0.93,219
1,0.92,0.84,0.88,73
2,0.91,0.90,0.90,173
3,0.92,0.92,0.92,178
4,0.85,0.91,0.88,116
5,0.89,0.68,0.77,25
6,0.83,0.90,0.86,124
7,0.97,0.88,0.92,33
8,0.90,0.86,0.88,98
9,0.97,0.91,0.94,153
10,0.95,0.95,0.95,444
11,0.96,0.98,0.97,333
12,0.99,0.91,0.95,76
13,0.99,0.99,0.99,3949
14,0.85,0.90,0.87,258
15,0.96,0.85,0.90,81
16,0.92,0.86,0.89,236
17,1.00,0.65,0.79,23
18,0.94,0.93,0.94,196
19,1.00,0.77,0.87,22
20,0.87,0.94,0.91,406
21,0.91,0.96,0.94,382
22,0.85,0.89,0.87,132
23,0.84,0.93,0.88,129
24,0.96,0.72,0.82,32
25,0.97,0.74,0.84,38
26,0.93,0.74,0.82,50
27,0.91,0.90,0.91,80
28,1.00,0.50,0.67,2
29,0.98,0.87,0.92,52
30,0.84,0.83,0.84,137
31,1.00,0.50,0.67,2
32,1.00,0.50,0.67,2
33,0.98,0.91,0.94,54
34,0.96,0.76,0.85,33
35,1.00,0.67,0.80,9
36,1.00,0.55,0.71,11
avg,0.94,0.82,0.87,8361

